EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
SCYL3=HsaEX0056692	13.33	NA	23.08	NA	12.67	3.23	18.98	NA	13.23	13.51	NA	16.87
SEMA3F=HsaEX0057075	42.31	36.67	41.67	50.00	37.85	32.43	33.33	53.49	40.98	56.25	31.03	34.43
SEMA3F=HsaEX0057076	91.37	100.00	95.45	82.46	95.65	90.91	100.00	100.00	93.83	96.61	88.46	96.08
RAD52=HsaEX0051924	82.41	87.76	69.70	95.47	74.44	82.80	69.74	66.67	75.62	79.59	67.27	80.03
CYP26B1=HsaEX0018263	95.77	95.16	100.00	92.28	97.51	100.00	95.96	95.52	94.63	80.00	100.00	100.00
ARHGAP33=HsaEX0005510	74.68	NA	68.75	92.00	63.86	64.44	NA	NA	78.22	NA	88.24	68.75
ARHGAP33=HsaEX0005511	96.83	100.00	90.88	100.00	96.46	95.64	100.00	93.64	89.86	80.82	100.00	92.69
SLC25A5=HsaEX1037317	70.29	NA	NA	NA	49.79	NA	NA	NA	69.35	NA	NA	NA
AC004381.6=HsaEX0000788	74.58	71.43	78.38	73.91	80.36	74.36	78.72	92.31	72.63	78.57	65.71	75.00
AC004381.6=HsaEX0000789	85.71	80.65	90.00	83.67	74.83	74.55	68.89	80.39	81.98	72.22	86.05	87.50
CROT=HsaEX0017322	93.10	NA	100.00	NA	91.67	86.67	88.89	100.00	92.59	80.95	NA	NA
OSBPL7=HsaEX0044934	65.52	60.00	80.00	62.16	63.86	77.78	60.00	NA	45.05	NA	36.59	NA
ALDH3B1=HsaEX0003634	72.36	81.54	69.62	68.63	65.93	60.94	68.18	70.30	75.56	72.92	75.00	79.07
TRAPPC6A=HsaEX0066936	71.05	70.83	67.21	76.74	73.33	61.19	85.51	72.73	66.67	66.67	76.92	56.00
CRAMP1=HsaEX0017128	77.98	73.91	84.21	76.00	84.21	81.82	82.98	88.00	85.00	77.78	79.49	100.00
MYLIP=HsaEX0040986	86.08	91.11	77.36	92.21	81.49	80.36	79.55	85.19	78.26	84.21	73.03	78.46
CDKL5=HsaEX0014401	11.50	20.60	4.76	NA	17.00	10.62	NA	NA	9.22	NA	NA	11.73
CELSR3=HsaEX0014558	84.31	NA	NA	NA	58.97	NA	NA	NA	92.00	NA	NA	NA
OSBPL5=HsaEX0044918	97.65	100.00	94.12	100.00	89.69	90.70	83.78	100.00	93.26	100.00	88.57	93.33
OSBPL5=HsaEX0044921	88.96	90.66	87.17	89.47	89.52	84.23	94.44	90.66	87.48	78.82	100.00	NA
GRAMD1B=HsaEX0028507	79.41	85.37	82.02	72.28	88.56	85.64	87.50	94.59	84.10	90.00	84.31	78.87
AKAP11=HsaEX0003354	57.01	50.00	NA	66.67	63.03	68.63	61.29	56.76	67.74	65.52	70.37	67.57
AKAP11=HsaEX0003358	40.58	46.48	36.45	40.82	39.45	36.71	39.13	45.45	57.51	59.32	55.00	59.26
IFT88=HsaEX0031099	46.24	NA	53.85	31.58	41.86	52.63	31.03	NA	23.08	NA	33.33	12.00
IFT88=HsaEX0031101	91.67	NA	NA	100.00	93.22	100.00	91.67	NA	84.62	84.00	NA	100.00
FAM136A=HsaEX1013836	69.53	59.69	75.46	75.48	59.82	59.29	61.38	NA	72.78	73.04	67.72	77.57
STAU2=HsaEX0062378	47.95	NA	NA	NA	38.00	NA	31.03	35.14	40.66	NA	39.39	21.21
PARP3=HsaEX0045605	16.92	NA	13.04	NA	21.95	6.67	NA	22.58	14.94	16.67	10.34	NA
GEMIN8=HsaEX0027312	65.71	67.35	65.62	64.52	70.56	65.96	67.65	79.71	64.85	76.00	62.26	58.06
RSF1=HsaEX1035749	13.14	25.00	12.64	7.32	NA	5.97	NA	13.13	16.35	13.21	21.88	16.13
H6PD=HsaEX0029177	0.00	NA	NA	NA	8.28	14.21	NA	NA	0.00	NA	NA	NA
LAMA3=HsaEX0035238	78.57	78.57	80.00	76.92	79.44	94.12	71.43	73.68	84.44	84.62	81.25	87.50
LAMA3=HsaEX0035239	94.59	90.91	93.33	100.00	95.74	94.12	100.00	93.55	93.94	81.82	100.00	100.00
ARID4B=HsaEX0005812	84.77	93.06	80.35	85.02	87.18	82.71	93.60	89.42	92.41	91.74	86.78	97.80
SYNE2=HsaEX0063184	92.59	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
KMT2C=HsaEX0039502	76.43	87.50	74.86	68.42	88.76	89.66	93.15	83.78	80.19	NA	81.25	86.67
MCOLN3=HsaEX0038297	38.83	NA	NA	NA	40.32	40.54	NA	NA	17.03	NA	NA	20.95
PRDM1=HsaEX0049894	89.63	89.47	92.00	87.23	78.82	76.12	88.46	72.55	79.56	83.33	79.59	76.92
ATP2B4=HsaEX0006903	96.49	93.55	100.00	96.00	93.39	94.29	100.00	85.37	88.37	81.25	93.55	91.30
LTK=HsaEX0036972	100.00	NA	NA	NA	80.94	NA	NA	NA	100.00	NA	NA	NA
ABCA7=HsaEX0000306	91.67	100.00	86.21	90.70	88.52	86.05	91.67	87.10	82.35	92.59	88.57	70.00
ABCA7=HsaEX0000308	85.85	84.21	88.73	84.62	86.72	85.60	85.00	90.91	89.94	100.00	93.22	79.71
ABCA7=HsaEX0000310	70.22	59.55	86.48	64.98	64.99	56.04	67.25	76.72	67.33	62.28	61.82	77.25
ZNF76=HsaEX0074312	64.42	69.81	57.97	66.93	60.59	61.90	66.88	50.79	67.23	74.55	64.89	62.83
DGKA=HsaEX0019383	86.76	NA	NA	NA	100.00	NA	NA	NA	90.87	NA	NA	NA
STOML1=HsaEX0062579	81.41	70.63	85.92	86.85	74.98	80.20	NA	65.00	70.56	86.85	69.64	NA
STOML1=HsaEX0062580	80.39	NA	NA	68.00	66.27	66.67	NA	64.29	79.41	85.19	78.95	NA
WIPI1=HsaEX0071532	86.67	77.36	90.91	94.74	79.10	95.24	68.00	76.19	82.11	94.74	80.49	72.73
SPEG=HsaEX0061335	93.33	NA	NA	NA	77.14	NA	NA	NA	100.00	NA	NA	NA
TRNT1=HsaEX0067330	60.14	NA	72.03	57.34	41.97	38.11	36.47	NA	54.59	NA	NA	NA
EVC=HsaEX0023338	8.62	6.25	2.22	17.95	12.00	3.57	17.07	16.98	14.29	15.79	17.24	10.53
PANX2=HsaEX0045384	41.46	39.39	NA	40.98	24.41	25.93	31.82	10.34	NA	28.21	33.33	NA
ATP2A3=HsaEX0006873	91.75	86.67	87.50	100.00	91.18	100.00	100.00	79.31	100.00	100.00	100.00	100.00
ANO8=HsaEX0004676	62.79	69.23	66.04	51.35	79.66	82.35	87.88	72.55	75.00	82.35	73.91	NA
SEMA3A=HsaEX0057047	88.57	93.94	93.75	80.00	88.76	82.22	100.00	91.30	89.33	87.88	100.00	NA
VPS9D1=HsaEX0009694	86.21	NA	NA	NA	85.19	NA	NA	NA	70.37	NA	NA	NA
ACTB=HsaEX1002535	14.65	NA	NA	NA	NA	NA	NA	NA	21.93	NA	NA	NA
ACACB=HsaEX0001704	92.19	NA	100.00	80.68	86.92	84.45	NA	89.37	84.76	NA	NA	NA
RAP1GAP=HsaEX0052215	74.77	80.94	72.61	72.51	67.27	63.74	72.92	64.89	72.92	77.94	79.15	63.10
FAM76B=HsaEX0024639	27.90	38.58	17.99	32.65	18.61	24.02	10.34	15.40	25.69	27.27	22.05	26.98
POLD3=HsaEX1028777	63.79	NA	NA	56.83	66.01	NA	55.91	73.21	NA	NA	NA	NA
MAP2=HsaEX0037463	50.45	NA	NA	NA	31.95	NA	NA	NA	NA	NA	NA	NA
LIPE=HsaEX0035918	55.56	NA	NA	NA	56.76	50.00	NA	NA	66.67	NA	NA	NA
CARMIL1=HsaEX0036508	94.06	93.55	92.59	95.35	91.30	91.43	95.56	86.96	83.64	79.49	88.89	82.86
RIF1=HsaEX0053616	54.14	55.38	58.36	49.08	48.01	48.53	49.35	45.96	38.21	38.60	35.59	40.68
SMARCA2=HsaEX0060272	93.75	85.71	93.10	100.00	90.73	91.84	84.62	96.00	90.32	80.49	91.67	100.00
MAGI3=HsaEX0037286	36.84	NA	NA	NA	36.84	31.58	NA	NA	23.29	31.25	13.04	NA
COL4A4=HsaEX0016553	90.32	89.47	100.00	83.33	74.55	67.74	NA	NA	91.67	NA	NA	80.00
ZNF510=HsaEX0073812	98.17	100.00	100.00	94.69	94.42	96.51	96.39	NA	83.79	87.59	80.95	82.39
ZNF510=HsaEX1045166	11.12	NA	NA	14.30	33.33	NA	NA	NA	18.94	NA	NA	NA
DOPEY1=HsaEX0020727	64.10	NA	NA	NA	69.23	NA	NA	NA	92.00	NA	NA	NA
ZNF446=HsaEX0073711	89.83	85.19	87.76	95.24	91.03	90.62	87.50	95.45	98.29	95.35	100.00	100.00
SSH1=HsaEX0061847	81.07	81.13	83.05	78.95	88.46	83.13	96.61	87.88	85.14	75.00	85.71	93.10
SH3BP2=HsaEX0057961	72.01	NA	NA	NA	82.85	NA	NA	NA	77.95	NA	NA	NA
SH3BP2=HsaEX0057966	93.55	100.00	86.21	NA	96.23	NA	91.30	NA	89.83	100.00	NA	NA
ASAP3=HsaEX0006185	96.58	93.75	100.00	95.45	92.25	96.08	91.49	87.10	88.57	100.00	86.36	83.78
SLC4A11=HsaEX0059791	82.73	77.26	92.10	79.56	94.24	95.63	87.57	100.00	94.45	91.78	100.00	NA
RBBP9=HsaEX0052550	72.04	70.83	75.34	69.23	79.49	83.33	83.87	67.35	70.62	63.08	79.66	69.81
KIF16B=HsaEX0034435	66.18	67.90	79.46	54.66	65.84	61.47	78.05	61.21	72.99	80.64	79.24	60.42
GMIP=HsaEX0027787	75.27	69.70	78.18	78.46	85.15	87.50	82.61	84.38	80.46	68.25	85.71	89.09
TNRC6A=HsaEX0066370	37.50	41.30	42.59	30.88	25.54	24.27	23.88	29.51	29.65	37.14	23.87	30.43
PITPNM2=HsaEX0047754	83.78	91.30	74.19	90.00	89.69	91.30	90.91	86.21	83.78	84.62	76.92	90.91
PITPNM2=HsaEX0047755	34.94	NA	NA	28.21	25.00	18.92	20.00	NA	45.71	NA	NA	NA
PITPNM2=HsaEX0047765	19.15	NA	NA	NA	26.53	NA	NA	NA	33.33	NA	NA	NA
NRCAM=HsaEX0043767	87.10	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
NRCAM=HsaEX0043769	100.00	NA	NA	NA	100.00	NA	NA	NA	90.91	NA	NA	NA
ITGA6=HsaEX0032370	43.70	NA	NA	21.05	44.13	46.13	34.48	NA	59.69	52.94	69.33	57.45
HDAC6=HsaEX6051636	88.50	90.14	87.81	87.65	98.45	100.00	100.00	95.62	97.37	92.11	100.00	100.00
POLRMT=HsaEX0049135	NA	27.25	25.54	35.95	NA	NA	NA	NA	NA	21.92	16.76	NA
RASSF7=HsaEX0052492	41.94	NA	NA	20.00	23.08	NA	NA	16.67	28.36	NA	NA	NA
ARVCF=HsaEX0006128	67.44	NA	NA	NA	93.10	NA	NA	NA	93.55	NA	NA	NA
ARVCF=HsaEX0006129	75.26	NA	NA	NA	80.27	NA	NA	NA	88.13	NA	91.40	NA
SEC14L2=HsaEX0056809	100.00	NA	NA	100.00	91.30	90.00	NA	NA	82.61	NA	NA	NA
SH3BP1=HsaEX0057951	61.70	NA	NA	NA	67.44	NA	NA	NA	83.33	NA	NA	NA
SH3BP1=HsaEX0057957	92.59	NA	88.24	100.00	100.00	NA	NA	NA	100.00	NA	NA	NA
PATZ1=HsaEX0045688	17.93	14.29	17.86	20.63	21.27	15.72	31.09	19.08	23.17	17.89	20.39	29.91
AP1B1=HsaEX0004865	51.50	39.27	54.90	54.77	39.47	40.23	39.77	37.93	37.88	38.55	30.43	43.68
ARSA=HsaEX0006060	76.86	NA	77.14	76.19	77.14	69.81	90.48	73.33	78.95	82.22	78.18	76.92
HDAC10=HsaEX0029368	61.53	57.43	66.33	60.02	68.90	61.36	78.16	69.85	69.56	68.61	73.99	65.30
PAPLN=HsaEX0045429	86.67	NA	NA	75.00	90.91	90.48	NA	NA	83.33	NA	NA	NA
PAPLN=HsaEX0045417	76.47	NA	NA	NA	63.64	NA	NA	NA	67.35	NA	NA	NA
PCK2=HsaEX0045901	80.12	83.33	86.21	72.31	88.04	91.04	93.55	78.18	97.04	100.00	100.00	88.89
DNAJC5=HsaEX0020352	18.56	19.88	23.37	13.58	17.77	22.89	24.48	7.52	14.56	11.71	10.99	20.75
NKAIN4=HsaEX0043039	NA	NA	NA	NA	13.04	NA	NA	NA	4.00	NA	NA	NA
ISM1=HsaEX0010516	93.10	NA	NA	NA	77.78	NA	NA	NA	100.00	NA	NA	NA
SCML2=HsaEX0056532	70.74	67.41	67.79	78.71	56.03	49.75	65.83	54.42	63.16	53.10	76.18	59.02
GABRE=HsaEX0026804	85.71	NA	NA	NA	96.97	NA	91.30	NA	92.98	NA	100.00	NA
DGKH=HsaEX0019434	91.30	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
MSLN=HsaEX0040324	85.89	88.71	76.56	91.72	79.09	83.74	72.73	78.95	82.52	87.20	82.78	77.94
GDPD3=HsaEX0027286	NA	NA	NA	NA	90.48	NA	NA	NA	100.00	NA	NA	NA
ESRP2=HsaEX0023211	90.24	92.16	85.96	92.86	88.24	91.67	91.89	81.18	88.65	84.42	81.58	100.00
UBE2I=HsaEX0068757	50.15	NA	45.47	NA	43.68	50.01	39.77	NA	47.60	NA	NA	32.26
RPGRIP1L=HsaEX0055472	88.59	NA	100.00	NA	100.00	100.00	NA	NA	88.43	NA	89.70	86.60
RPGRIP1L=HsaEX0055473	100.00	NA	100.00	NA	100.00	100.00	NA	NA	87.88	NA	NA	NA
ZFAND1=HsaEX0072582	59.58	49.49	55.56	68.92	53.78	55.05	51.38	54.70	49.55	47.39	52.66	48.47
DMPK=HsaEX0019991	88.52	87.50	81.13	100.00	80.49	87.50	85.19	65.22	86.96	89.09	94.87	77.27
CCNE1=HsaEX0013632	63.17	62.69	67.11	60.22	60.13	62.45	56.70	60.92	51.06	47.54	55.28	50.86
MAST1=HsaEX0037963	20.83	NA	NA	NA	10.14	20.00	4.76	4.35	7.94	3.23	4.76	NA
PBX4=HsaEX0045761	60.87	NA	NA	NA	72.97	NA	NA	NA	100.00	NA	NA	NA
ITGB8=HsaEX0032491	83.02	79.31	85.84	83.05	80.56	74.44	87.10	82.80	73.54	78.18	69.84	73.03
RARRES2=HsaEX0052326	80.95	NA	NA	69.23	64.00	NA	71.43	62.96	84.13	NA	NA	90.91
GLI3=HsaEX0027614	100.00	NA	NA	NA	83.33	NA	NA	NA	100.00	NA	NA	NA
SLC1A1=HsaEX0058796	100.00	NA	NA	NA	92.59	NA	NA	100.00	84.31	NA	NA	NA
PALD1=HsaEX1026928	10.98	5.41	13.93	11.70	11.29	11.14	10.18	12.88	20.54	15.01	24.05	22.22
TRIM16L=HsaEX0067036	84.88	87.23	88.57	78.18	91.46	91.94	86.05	97.18	93.26	92.98	93.75	92.98
PFN1=HsaEX1027773	13.49	22.43	12.15	8.55	24.49	16.46	41.42	6.47	26.52	8.94	8.12	50.25
ALDH3A1=HsaEX0003625	75.00	NA	NA	NA	75.61	NA	NA	NA	65.22	NA	NA	NA
TBC1D19=HsaEX0063804	93.65	NA	90.00	100.00	94.00	95.24	92.00	93.94	81.33	100.00	75.00	73.33
PRPF40B=HsaEX0050379	86.51	87.65	80.83	91.03	79.92	73.93	89.49	80.04	93.94	89.44	92.89	100.00
PRPF40B=HsaEX0050380	100.00	NA	NA	100.00	100.00	100.00	NA	NA	85.98	NA	NA	NA
TBC1D30=HsaEX0063882	95.92	90.91	94.59	100.00	94.87	95.45	94.59	94.44	86.54	77.14	100.00	84.21
MCM9=HsaEX0038282	95.09	100.00	100.00	86.89	91.30	83.97	NA	100.00	97.74	92.68	100.00	100.00
NCOA7=HsaEX0042097	96.25	100.00	93.31	96.47	87.10	91.31	77.00	90.59	94.95	89.95	100.00	96.43
ICK=HsaEX0030858	94.67	90.91	100.00	94.29	89.13	87.88	100.00	82.35	94.59	NA	100.00	100.00
GPR63=HsaEX0028404	25.58	NA	NA	NA	20.00	NA	NA	11.11	16.36	NA	NA	11.11
GLTSCR1L=HsaEX0033531	100.00	100.00	100.00	100.00	87.08	87.15	84.16	89.00	95.57	92.11	94.21	100.00
CUL9=HsaEX0018045	97.35	100.00	100.00	92.00	86.75	83.58	91.39	85.66	84.99	NA	93.77	NA
CUL9=HsaEX0018048	100.00	100.00	NA	100.00	96.88	90.91	100.00	100.00	89.25	92.86	86.21	88.89
TMCO6=HsaEX0065320	89.16	96.43	78.44	94.68	91.40	93.07	88.33	92.85	84.68	79.90	88.78	85.46
FAF2=HsaEX0023698	18.31	NA	15.38	NA	25.64	31.71	16.67	NA	30.43	21.43	NA	NA
NPHP3=HsaEX0043533	70.00	NA	NA	NA	45.45	NA	NA	NA	58.14	NA	NA	NA
CLCN2=HsaEX0015528	83.33	NA	85.19	75.00	91.23	100.00	89.74	83.33	78.38	73.33	84.21	78.57
INO80D=HsaEX0031693	100.00	NA	100.00	NA	100.00	100.00	NA	100.00	93.75	100.00	100.00	83.33
EEF1B2=HsaEX6018016	94.07	89.47	90.70	100.00	85.29	NA	88.00	83.33	83.94	86.67	86.96	78.26
RTKN=HsaEX0055864	86.77	80.56	82.22	95.79	79.40	85.82	76.07	74.77	80.33	80.00	85.42	75.28
TTC31=HsaEX0067913	71.74	71.43	69.14	74.55	81.43	88.02	79.31	74.19	78.25	75.71	83.47	76.54
FN1=HsaEX0026102	41.12	34.38	48.81	37.88	30.64	27.39	33.33	33.33	37.59	39.78	28.89	43.43
PAPOLG=HsaEX0045448	78.95	80.00	83.33	72.41	88.96	92.50	82.22	89.47	90.48	87.10	93.55	90.70
ELMOD3=HsaEX0022185	85.26	69.23	94.87	86.67	78.38	74.55	88.46	70.73	63.93	80.65	75.00	39.53
MARK1=HsaEX0037909	58.24	55.10	54.43	66.67	61.63	60.82	64.71	60.00	55.16	40.00	60.98	63.38
RALGPS2=HsaEX0052104	70.27	NA	61.54	76.92	81.25	73.68	100.00	NA	66.67	NA	NA	NA
KIAA1324=HsaEX0034017	80.95	83.33	80.65	79.31	69.37	77.27	61.90	NA	73.83	66.67	74.47	80.00
CTBS=HsaEX0017678	53.12	54.84	54.10	50.00	61.64	57.14	66.67	65.00	51.77	47.83	55.17	51.35
F3=HsaEX0023640	100.00	100.00	100.00	100.00	89.25	86.05	90.48	93.10	90.24	100.00	84.21	91.30
PTBP2=HsaEX0050729	98.06	100.00	100.00	94.59	85.23	88.68	76.00	91.30	95.00	88.24	96.08	100.00
NRP2=HsaEX0043848	89.73	NA	NA	NA	100.00	NA	NA	NA	91.78	NA	NA	NA
SGIP1=HsaEX0057801	90.00	NA	NA	NA	93.94	NA	NA	NA	100.00	NA	NA	NA
ABCG2=HsaEX6085336	90.00	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
FCF1=HsaEX0025397	62.79	NA	NA	NA	82.98	NA	NA	NA	69.91	78.72	NA	NA
ARAP3=HsaEX0005298	79.60	77.78	82.30	78.89	86.45	75.76	100.00	90.29	84.54	91.62	86.28	77.13
MTRF1=HsaEX0040712	5.45	NA	NA	0.00	6.02	9.68	4.35	3.45	20.63	NA	16.67	NA
RNF170=HsaEX0053975	NA	NA	NA	NA	30.23	NA	NA	NA	16.13	NA	NA	NA
ADGRB2=HsaEX0007567	48.00	NA	53.33	45.45	38.71	25.93	NA	NA	43.33	NA	NA	NA
ADGRB2=HsaEX0007571	15.56	NA	NA	4.76	29.73	NA	NA	NA	17.95	NA	NA	NA
ADGRB2=HsaEX0007566	64.91	NA	NA	NA	56.10	NA	NA	NA	76.47	NA	NA	NA
RBBP6=HsaEX0052533	54.18	60.78	45.19	58.21	56.94	55.91	52.38	63.33	59.88	62.50	55.37	62.26
SERAC1=HsaEX0057325	93.81	NA	100.00	93.06	84.00	81.40	NA	79.55	92.10	NA	NA	NA
RECK=HsaEX0052963	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	93.02	82.61	100.00	94.44
BICC1=HsaEX0008075	30.16	35.14	26.83	29.17	23.73	22.45	31.58	16.13	33.33	34.69	40.00	27.87
USP45=HsaEX0069923	76.19	NA	NA	NA	65.08	65.52	NA	NA	63.64	NA	NA	NA
BAZ2B=HsaEX0007736	74.26	NA	NA	NA	55.58	NA	NA	NA	79.19	NA	NA	NA
BAZ2B=HsaEX0007738	48.57	NA	54.29	NA	55.00	42.86	NA	NA	65.52	NA	NA	NA
BAZ2B=HsaEX0007739	60.87	NA	NA	NA	64.38	NA	NA	NA	77.78	NA	80.95	NA
LPGAT1=HsaEX0036213	56.44	54.46	56.00	58.82	54.07	47.37	55.79	63.33	60.83	67.57	57.89	57.14
ZNF45=HsaEX0073715	9.90	10.77	14.89	4.19	17.41	14.89	20.55	18.22	8.48	6.46	9.26	11.60
PEX6=HsaEX0046678	94.44	94.74	95.74	93.22	88.83	88.41	96.88	78.26	89.94	79.10	100.00	95.83
MYRF=HsaEX6002315	100.00	NA	NA	NA	90.12	NA	NA	NA	100.00	NA	NA	NA
SSUH2=HsaEX6054209	92.86	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA
CEP250=HsaEX0014759	78.38	NA	NA	75.76	65.81	73.33	74.36	NA	65.59	83.33	63.64	55.56
RHOT1=HsaEX1031255	62.50	NA	NA	NA	83.52	NA	NA	NA	88.37	NA	NA	NA
MACF1=HsaEX0037169	18.71	30.40	8.26	14.79	29.07	29.63	31.98	25.55	20.34	20.69	17.36	22.98
MACF1=HsaEX0037166	90.70	88.24	NA	NA	73.77	92.59	NA	NA	94.44	NA	NA	NA
AKAP9=HsaEX0003417	60.00	48.94	65.00	68.42	71.60	65.85	73.91	80.49	65.22	62.50	64.71	67.35
STYXL1=HsaEX0062808	7.14	NA	NA	NA	20.00	15.38	NA	NA	12.82	NA	NA	NA
TUBGCP6=HsaEX1042564	NA	NA	NA	37.14	NA	NA	NA	29.41	NA	31.43	18.52	NA
STRIP2=HsaEX0024458	89.66	81.82	95.35	88.24	91.30	100.00	89.47	83.78	90.20	NA	91.84	93.10
CHN1=HsaEX0015243	91.28	93.34	90.00	91.06	84.33	85.42	87.41	80.23	80.68	81.46	68.84	91.47
HERC2=HsaEX1016718	29.98	38.95	28.24	26.74	28.03	26.52	26.09	32.90	20.33	17.37	21.85	21.89
TEP1=HsaEX0064471	61.90	NA	65.52	NA	47.73	39.13	NA	NA	59.32	NA	81.82	NA
TEP1=HsaEX0064474	94.00	NA	NA	NA	100.00	100.00	100.00	NA	81.51	NA	NA	NA
RHBDF2=HsaEX0053454	94.65	92.44	100.00	90.68	95.30	100.00	90.30	95.35	84.69	93.42	79.66	80.99
TTI2=HsaEX0011542	79.42	85.29	79.87	74.87	78.66	79.34	72.81	86.08	78.33	72.90	87.57	74.23
MOSPD2=HsaEX0039855	66.67	60.00	NA	NA	71.05	NA	NA	NA	75.00	NA	NA	NA
TRPM4=HsaEX0067400	64.74	63.83	69.81	61.24	60.93	51.91	71.10	60.00	67.67	68.09	67.61	67.44
SULT4A1=HsaEX0062880	NA	NA	NA	NA	100.00	NA	NA	NA	88.24	NA	NA	NA
MPP1=HsaEX0039951	97.50	100.00	100.00	94.29	89.83	85.37	85.37	100.00	97.65	100.00	93.10	100.00
POLN=HsaEX0048993	93.10	83.33	100.00	NA	100.00	100.00	NA	NA	92.98	93.33	NA	NA
RBSN=HsaEX0072739	64.48	75.31	54.46	66.23	69.60	72.93	65.96	68.63	64.31	58.24	69.52	64.36
NPHP4=HsaEX0043549	97.22	100.00	100.00	91.30	90.59	94.44	100.00	77.78	91.89	100.00	78.57	100.00
TNS4=HsaEX0066421	86.05	NA	NA	100.00	87.76	76.92	NA	NA	100.00	NA	NA	100.00
LLGL1=HsaEX0035961	87.81	95.52	88.58	81.08	86.85	85.14	91.68	84.19	83.46	89.85	85.30	73.82
ZSWIM4=HsaEX0074583	100.00	NA	NA	NA	88.89	NA	NA	NA	100.00	NA	NA	NA
FBXW9=HsaEX0025389	85.32	NA	91.11	90.00	95.68	95.24	95.92	95.83	92.23	100.00	80.00	95.12
ZNF20=HsaEX0073166	13.76	NA	NA	NA	4.00	NA	NA	NA	NA	NA	NA	NA
C19orf57=HsaEX0010016	45.95	NA	NA	NA	54.29	NA	NA	NA	59.09	NA	NA	NA
MMACHC=HsaEX0039622	86.75	86.11	83.52	90.83	89.96	87.99	94.75	87.62	84.25	80.48	77.96	96.67
FBXO44=HsaEX0025341	20.00	NA	16.67	20.00	11.43	NA	4.00	13.04	28.89	NA	16.67	NA
RSG1=HsaEX0010346	21.95	17.65	22.03	26.67	28.57	28.57	25.00	31.82	22.52	13.51	19.05	37.50
PIK3C2B=HsaEX0047522	100.00	NA	100.00	NA	85.54	82.86	100.00	NA	90.91	100.00	83.33	91.67
MORC4=HsaEX0039810	80.84	86.21	71.43	84.91	83.25	85.00	92.00	73.77	82.61	84.00	80.28	84.13
SLC2A11=HsaEX0059276	NA	NA	NA	NA	NA	35.48	NA	NA	50.00	NA	NA	NA
SEC14L4=HsaEX0056814	100.00	NA	NA	NA	84.21	NA	NA	NA	100.00	NA	NA	NA
LRRCC1=HsaEX0036718	26.15	NA	NA	12.00	41.33	48.72	NA	NA	27.03	NA	25.00	NA
LRRCC1=HsaEX0036717	95.45	100.00	88.24	100.00	85.96	92.45	66.67	93.55	82.72	71.43	100.00	85.19
C14orf159=HsaEX0009433	86.05	76.00	87.50	93.10	91.74	87.10	93.75	100.00	96.00	94.29	100.00	93.10
PLEKHA8P1=HsaEX0048306	72.88	NA	NA	NA	85.26	92.86	89.19	73.33	71.70	81.40	60.98	NA
NAV1=HsaEX0041746	5.41	17.08	0.00	0.00	3.22	NA	NA	0.00	2.51	NA	0.00	0.00
DOCK2=HsaEX0020552	100.00	NA	NA	NA	88.24	NA	NA	NA	100.00	NA	NA	NA
LRP4=HsaEX0036437	92.86	NA	82.61	100.00	96.36	91.67	NA	100.00	100.00	100.00	NA	100.00
DSC2=HsaEX0020995	22.28	29.45	19.95	17.71	14.90	17.31	19.29	8.48	27.04	15.91	41.58	25.65
DAGLA=HsaEX0018457	65.22	NA	60.00	75.00	70.73	NA	NA	77.78	71.43	60.00	76.00	83.33
DAGLA=HsaEX0018461	92.84	80.59	100.00	100.00	86.31	89.52	92.53	NA	86.31	85.61	88.20	84.60
ARHGAP32=HsaEX0005500	38.89	NA	NA	NA	32.08	NA	NA	NA	56.76	NA	NA	NA
APC=HsaEX0005100	33.94	30.96	42.69	28.81	27.34	29.83	22.82	28.30	26.89	23.01	23.47	32.69
GOLM1=HsaEX0028007	28.30	NA	NA	NA	21.88	NA	NA	25.93	14.81	NA	7.14	NA
USP30=HsaEX0069721	92.94	83.33	100.00	100.00	95.20	95.12	89.74	100.00	100.00	100.00	100.00	100.00
NT5E=HsaEX0044039	86.44	84.00	NA	NA	87.10	88.24	89.47	80.95	82.52	86.21	100.00	65.85
PHF21A=HsaEX0047033	21.14	25.90	26.98	11.49	13.57	6.85	14.29	27.12	19.88	26.43	25.12	8.26
B4GALNT1=HsaEX1005379	12.98	12.96	5.88	19.21	12.24	0.00	5.98	27.42	10.68	9.03	14.04	8.92
ZC3H10=HsaEX0072213	91.55	100.00	100.00	76.92	98.00	100.00	100.00	94.12	100.00	100.00	100.00	100.00
RAB11FIP5=HsaEX0051567	23.57	20.00	31.91	20.00	27.64	21.84	32.35	31.82	25.56	NA	18.75	NA
DOCK10=HsaEX0020534	95.24	NA	NA	NA	96.43	100.00	100.00	NA	84.21	NA	NA	NA
