EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
RP5-991G20.1=HsaEX1035461	16.11	NA	NA	NA	4.91	NA	NA	NA	5.76	NA	NA	NA
LYPD8=HsaEX1022495	91.04	85.19	100.00	NA	93.48	89.74	100.00	NA	88.46	NA	NA	NA
LINC02166=HsaEX1021774	13.85	NA	NA	NA	26.14	NA	NA	NA	16.47	NA	NA	NA
RP11-529K1.2=HsaEX1033994	90.41	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
IKBKE=HsaEX0031259	78.73	86.45	74.53	78.65	81.49	78.44	88.94	76.97	80.95	87.61	87.26	70.93
AC007773.2=HsaEX1001769	0.00	NA	NA	NA	8.33	NA	NA	NA	NA	NA	NA	NA
RUNDC3A-AS1=HsaEX1035843	NA	NA	NA	NA	3.03	0.00	NA	NA	11.68	NA	NA	NA
TMEM185A=HsaEX0065645	66.24	66.12	65.30	67.13	59.21	59.83	52.69	62.42	75.36	74.35	75.43	74.36
DHRS11=HsaEX0019511	80.33	87.32	79.14	80.09	81.79	89.48	75.42	80.16	70.66	71.91	74.38	69.78
bP-21264C1.2=HsaEX1045694	82.39	NA	87.11	86.10	77.71	78.05	NA	NA	90.35	NA	NA	NA
CH507-254M2.3=HsaEX1008610	8.85	NA	NA	NA	16.09	NA	NA	NA	2.78	NA	0.00	NA
MATR3=HsaEX1023046	12.47	19.42	10.44	10.03	22.07	21.92	20.96	23.16	18.99	23.68	23.25	10.07
RP11-485F13.1=HsaEX1033828	11.76	NA	NA	NA	5.26	NA	NA	0.00	17.24	NA	NA	16.67
RP11-1216L17.1=HsaEX1032052	56.52	NA	NA	NA	61.70	73.91	NA	NA	55.10	NA	NA	NA
RP11-204M4.3=HsaEX1032476	22.29	NA	NA	NA	20.90	21.19	NA	17.58	36.38	NA	NA	NA
NADK=HsaEX1025047	81.33	75.11	89.07	80.61	71.89	68.97	65.35	83.33	71.79	63.44	68.87	81.57
ATP1B3=HsaEX1005083	0.00	NA	NA	NA	9.83	NA	NA	NA	0.00	NA	NA	NA
VASH1=HsaEX1043391	0.00	NA	0.00	0.00	6.30	0.00	0.00	14.39	0.00	NA	NA	NA
ABLIM1=HsaEX1001470	49.35	41.67	80.00	42.31	43.75	NA	45.46	42.31	36.67	NA	28.26	50.00
KCTD9=HsaEX1018510	20.79	NA	33.33	8.43	3.32	0.00	9.86	0.00	0.00	NA	0.00	0.00
RPL18A=HsaEX0055494	0.00	NA	0.00	NA	29.85	27.59	36.36	25.00	14.81	28.57	NA	NA
ABCA2=HsaEX0000256	68.15	71.43	71.84	62.14	69.31	60.30	83.86	70.85	69.09	60.98	67.38	75.76
APBB3=HsaEX0005085	11.72	6.14	13.48	17.36	13.23	18.59	2.68	25.65	12.27	16.75	8.48	11.26
SUB1=HsaEX1039525	18.33	NA	NA	NA	0.00	0.00	NA	NA	7.30	NA	NA	NA
EEF1B2=HsaEX1012693	68.14	73.68	70.64	62.18	77.43	89.32	60.16	78.88	72.01	73.68	68.24	75.90
TARDBP=HsaEX1040003	90.11	86.10	100.00	83.62	90.57	92.11	97.04	78.80	87.94	88.45	87.67	87.67
NLRC5=HsaEX0043113	6.09	NA	0.00	0.00	0.00	0.00	0.00	NA	12.43	0.00	28.77	NA
GAS8=HsaEX0027088	6.69	5.63	3.74	13.15	5.88	8.94	0.00	7.37	13.79	29.43	7.37	4.96
RPL13A=HsaEX1035552	NA	NA	NA	NA	10.57	NA	NA	NA	28.49	NA	NA	NA
RPL37=HsaEX1035582	NA	NA	NA	NA	9.16	NA	NA	NA	24.76	NA	NA	NA
RPS3=HsaEX1035638	90.80	84.46	95.48	90.92	91.49	84.73	96.63	91.59	88.52	89.74	93.27	76.47
DMTN=HsaEX1011825	0.00	0.00	0.00	0.00	12.50	0.00	42.86	NA	19.57	45.01	0.00	0.00
COX6B2=HsaEX0016918	63.35	NA	69.91	49.22	61.66	63.22	NA	NA	56.75	NA	76.64	40.03
NDUFAF2=HsaEX0042301	42.72	22.92	57.53	41.63	35.36	33.09	35.42	38.96	38.02	40.67	27.28	48.86
FUNDC2=HsaEX1015014	55.00	58.77	NA	NA	51.93	51.67	74.47	29.80	44.96	NA	31.83	NA
TAF1D=HsaEX0063458	36.35	39.72	36.71	32.59	19.46	6.18	37.38	NA	28.22	19.46	40.56	24.37
HOOK3=HsaEX0030349	7.52	8.82	8.00	6.12	13.75	9.86	25.00	11.32	11.19	16.07	9.30	6.82
ZCCHC4=HsaEX1044505	0.00	0.00	NA	0.00	9.46	22.58	0.00	0.00	0.00	0.00	0.00	0.00
UPF3A=HsaEX1043048	3.82	11.89	0.00	0.00	7.54	0.00	0.00	NA	15.67	NA	8.79	NA
COL4A5=HsaEX1009437	23.06	23.92	17.90	25.35	15.98	10.44	9.36	27.48	21.46	14.89	27.97	23.54
FAM92A=HsaEX1014145	0.00	NA	NA	NA	8.12	NA	NA	NA	14.42	NA	NA	NA
RUNDC1=HsaEX0055952	20.48	20.29	23.56	16.60	31.89	28.40	35.32	32.70	21.95	25.29	18.31	22.10
TENM1=HsaEX6053224	91.02	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
MDH1=HsaEX7001183	6.98	NA	NA	NA	17.65	NA	NA	NA	3.33	4.35	3.02	NA
YAF2=HsaEX0071934	1.92	NA	0.00	3.77	13.44	NA	NA	6.18	0.00	NA	NA	NA
RUFY3=HsaEX0055942	79.59	NA	89.28	73.61	89.76	95.16	78.07	100.00	83.52	NA	78.87	81.55
PRDM11=HsaEX7005992	NA	NA	NA	NA	36.32	NA	23.01	NA	62.60	NA	NA	NA
FHL1=HsaEX7004818	47.51	NA	NA	NA	57.54	59.25	NA	NA	34.46	25.27	NA	NA
HSD17B6=HsaEX7007206	64.23	NA	NA	NA	47.68	NA	NA	NA	60.67	NA	NA	NA
PNPLA6=HsaEX0048735	NA	NA	NA	NA	50.23	NA	NA	NA	41.84	NA	NA	NA
SPATA7=HsaEX7008213	11.11	NA	13.33	7.14	20.00	0.00	NA	NA	14.89	NA	NA	NA
ZNF112=HsaEX0072649	38.69	NA	NA	NA	28.59	NA	NA	NA	28.39	NA	NA	NA
FGFR3=HsaEX6083193	100.00	NA	100.00	100.00	100.00	100.00	100.00	100.00	93.84	100.00	100.00	81.49
FGFR3=HsaEX6083192	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	92.38	NA	100.00	80.97
IFT80=HsaEX0031074	89.36	100.00	83.56	86.89	92.31	90.91	93.75	92.94	98.80	96.92	100.00	100.00
KCNAB2=HsaEX0032937	7.97	NA	NA	NA	0.00	NA	NA	NA	10.39	NA	NA	NA
SREBF1=HsaEX6021320	95.12	NA	NA	NA	78.95	NA	88.89	NA	72.22	NA	NA	NA
SEC31B=HsaEX0056963	67.54	NA	NA	NA	34.16	41.44	NA	NA	48.76	NA	NA	NA
SEC31B=HsaEX6089995	100.00	NA	NA	NA	90.09	NA	NA	NA	100.00	NA	NA	NA
KLHL20=HsaEX0034793	39.81	36.78	NA	NA	36.15	46.43	35.86	28.54	41.39	46.79	37.50	42.58
RFX3=HsaEX0053257	92.19	NA	NA	NA	100.00	NA	NA	100.00	84.45	NA	NA	NA
C1QTNF3=HsaEX0010057	68.00	NA	NA	NA	90.91	NA	NA	NA	NA	NA	NA	NA
DDHD2=HsaEX0018836	82.14	NA	NA	NA	80.21	NA	NA	NA	100.00	NA	NA	NA
DTX2=HsaEX0021126	17.95	NA	10.34	23.53	22.45	16.67	31.03	NA	11.46	20.00	6.05	NA
RFFL=HsaEX0053187	79.33	NA	NA	82.25	89.97	92.51	NA	91.53	89.92	95.77	91.89	NA
CRAT=HsaEX0017132	33.33	31.25	31.03	36.84	28.83	25.42	40.35	20.83	35.48	31.25	44.44	NA
SEC14L2=HsaEX7109121	100.00	NA	NA	NA	78.93	NA	NA	NA	68.48	NA	NA	NA
SEC14L2=HsaEX7109120	NA	NA	NA	NA	68.75	NA	NA	NA	51.52	NA	NA	NA
SPECC1L=HsaEX0018373	19.27	13.64	23.60	23.60	18.06	19.54	27.47	10.09	13.53	20.00	12.99	9.47
CHKB=HsaEX0015197	89.40	97.31	93.20	78.78	85.58	89.28	94.75	74.59	87.73	97.48	78.61	92.27
EP300=HsaEX6026975	40.42	32.05	47.58	40.91	31.86	36.41	41.70	22.34	37.05	42.88	32.30	36.96
GNPNAT1=HsaEX0027917	69.52	NA	NA	NA	58.87	60.56	NA	52.57	57.15	61.40	NA	55.86
DICER1=HsaEX7008252	26.25	NA	26.38	18.22	29.95	33.56	19.83	36.83	25.92	20.39	29.38	26.26
C14orf93=HsaEX0009529	9.88	NA	NA	3.97	21.86	NA	NA	NA	7.59	8.21	NA	NA
SMS=HsaEX7004580	66.54	NA	NA	NA	NA	NA	NA	NA	62.67	46.35	NA	NA
CRISPLD2=HsaEX0017259	12.71	5.12	15.93	15.35	15.27	23.60	13.92	7.48	15.55	13.92	6.92	21.50
EIF3J=HsaEX7008440	25.73	NA	NA	NA	6.30	8.33	6.33	3.59	12.35	7.92	8.27	17.64
EEF1D=HsaEX0021625	7.26	NA	NA	NA	9.59	NA	NA	NA	25.21	NA	NA	NA
ARHGEF10=HsaEX0005579	22.03	21.15	20.59	25.23	23.43	26.28	14.55	26.12	14.35	16.42	16.49	10.63
ARHGEF10=HsaEX0005569	85.36	87.48	87.78	82.63	89.13	85.37	95.36	95.94	96.97	95.14	95.40	100.00
