TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
NA	NA	NA	NA	NA	NA	SAR1B
NA	NA	NA	NA	NA	NA	GPR180
NA	NA	NA	NA	NA	NA	FARP1
NA	NA	NA	NA	NA	NA	PTPRK
NA	NA	NA	NA	NA	NA	MED21
NA	NA	NA	NA	NA	NA	STK32B
NA	NA	NA	NA	NA	NA	CWC27
NA	NA	NA	NA	NA	NA	DAB2
NA	NA	NA	NA	NA	NA	ANAPC1
NA	NA	NA	NA	NA	NA	CAST
NA	NA	NA	NA	NA	NA	SCOC
NA	NA	NA	NA	NA	NA	CLGN
NA	NA	NA	NA	NA	NA	CETN3
NA	NA	NA	NA	NA	NA	SMARCA5
NA	NA	NA	NA	NA	NA	BMP6
NA	NA	NA	NA	NA	NA	RASSF3
NA	NA	NA	NA	NA	NA	RANBP2
NA	NA	NA	NA	NA	NA	TMEM87B
NA	NA	NA	NA	NA	NA	PTPRR
NA	NA	NA	NA	NA	NA	RBMS1
NA	NA	NA	NA	NA	NA	CYRIB
NA	NA	NA	NA	NA	NA	TRAPPC8
NA	NA	NA	NA	NA	NA	LINC00467
NA	NA	NA	NA	NA	NA	ADPRHL1
NA	NA	NA	NA	NA	NA	FBXL2
NA	NA	NA	NA	NA	NA	UBP1
NA	NA	NA	NA	NA	NA	LURAP1L
NA	NA	NA	NA	NA	NA	CNKSR3
NA	NA	NA	NA	NA	NA	ZDHHC7
NA	NA	NA	NA	NA	NA	CMIP
NA	NA	NA	NA	NA	NA	CEBPG
NA	NA	NA	NA	NA	NA	KCTD15
NA	NA	NA	NA	NA	NA	SREK1
NA	NA	NA	NA	NA	NA	CHD1
NA	NA	NA	NA	NA	NA	CACNA2D1
NA	NA	NA	NA	NA	NA	NUS1
NA	NA	NA	NA	NA	NA	SEMA3D
NA	NA	NA	NA	NA	NA	PPP2R5E
NA	NA	NA	NA	NA	NA	IMPACT
NA	NA	NA	NA	NA	NA	JPH3
NA	NA	NA	NA	NA	NA	ANKH
NA	NA	NA	NA	NA	NA	UBASH3B
NA	NA	NA	NA	NA	NA	TBRG1
NA	NA	NA	NA	NA	NA	TOMM70
NA	NA	NA	NA	NA	NA	ANGPT1
NA	NA	NA	NA	NA	NA	PRKCA
NA	NA	NA	NA	NA	NA	LRRK1
NA	NA	NA	NA	NA	NA	MIA3
NA	NA	NA	NA	NA	NA	LONRF1
NA	NA	NA	NA	NA	NA	BUB3
NA	NA	NA	NA	NA	NA	CNTNAP3B
NA	NA	NA	NA	NA	NA	C21orf91
NA	NA	NA	NA	NA	NA	ADAMTS1
NA	NA	NA	NA	NA	NA	ADAMTS5
NA	NA	NA	NA	NA	NA	TSEN2
NA	NA	NA	NA	NA	NA	XPC
NA	NA	NA	NA	NA	NA	PLCL2
NA	NA	NA	NA	NA	NA	CXXC1
NA	NA	NA	NA	NA	NA	SKA1
NA	NA	NA	NA	NA	NA	PPP4R1
NA	NA	NA	NA	NA	NA	PIEZO2
NA	NA	NA	NA	NA	NA	MPPE1
NA	NA	NA	NA	NA	NA	EME1
NA	NA	NA	NA	NA	NA	KLF10
NA	NA	NA	NA	NA	NA	AZIN1
NA	NA	NA	NA	NA	NA	ATP6V1C1
NA	NA	NA	NA	NA	NA	MMS19
NA	NA	NA	NA	NA	NA	ZFYVE27
NA	NA	NA	NA	NA	NA	GRAMD2B
NA	NA	NA	NA	NA	NA	HEATR3
NA	NA	NA	NA	NA	NA	OXA1L
NA	NA	NA	NA	NA	NA	MIER3
NA	NA	NA	NA	NA	NA	NUP205
NA	NA	NA	NA	NA	NA	ZKSCAN2
NA	NA	NA	NA	NA	NA	RBM45
NA	NA	NA	NA	NA	NA	PDIA4
NA	NA	NA	NA	NA	NA	TMEM237
NA	NA	NA	NA	NA	NA	RNF20
NA	NA	NA	NA	NA	NA	PPARGC1B
NA	NA	NA	NA	NA	NA	SLC26A2
NA	NA	NA	NA	NA	NA	LSM11
NA	NA	NA	NA	NA	NA	RASA2
NA	NA	NA	NA	NA	NA	TMBIM4
NA	NA	NA	NA	NA	NA	MIDEAS
NA	NA	NA	NA	NA	NA	FAM161B
NA	NA	NA	NA	NA	NA	DCK
NA	NA	NA	NA	NA	NA	RWDD2B
NA	NA	NA	NA	NA	NA	NAA11
NA	NA	NA	NA	NA	NA	SCAF4
NA	NA	NA	NA	NA	NA	RPGR
NA	NA	NA	NA	NA	NA	CDK20
NA	NA	NA	NA	NA	NA	ANKRD9
NA	NA	NA	NA	NA	NA	SFXN2
NA	NA	NA	NA	NA	NA	SH3RF2
NA	NA	NA	NA	NA	NA	MTERF3
NA	NA	NA	NA	NA	NA	PTDSS1
NA	NA	NA	NA	NA	NA	PPP2R2B
NA	NA	NA	NA	NA	NA	RPL30
NA	NA	NA	NA	NA	NA	SUPV3L1
NA	NA	NA	NA	NA	NA	PABIR2
NA	NA	NA	NA	NA	NA	CD109
NA	NA	NA	NA	NA	NA	UNC5D
NA	NA	NA	NA	NA	NA	UTP14A
NA	NA	NA	NA	NA	NA	MAPK13
NA	NA	NA	NA	NA	NA	TBC1D31
NA	NA	NA	NA	NA	NA	NTAQ1
NA	NA	NA	NA	NA	NA	ATAD2
NA	NA	NA	NA	NA	NA	FBXO32
NA	NA	NA	NA	NA	NA	FRRS1
NA	NA	NA	NA	NA	NA	SASS6
NA	NA	NA	NA	NA	NA	PDE6D
NA	NA	NA	NA	NA	NA	BRPF1
NA	NA	NA	NA	NA	NA	ZFYVE9
NA	NA	NA	NA	NA	NA	NRG1
NA	NA	NA	NA	NA	NA	ODR4
NA	NA	NA	NA	NA	NA	PAXIP1
NA	NA	NA	NA	NA	NA	ST3GAL2
NA	NA	NA	NA	NA	NA	FCSK
NA	NA	NA	NA	NA	NA	ZNF19
NA	NA	NA	NA	NA	NA	RNF111
NA	NA	NA	NA	NA	NA	MYO1E
NA	NA	NA	NA	NA	NA	APPL1
NA	NA	NA	NA	NA	NA	AFAP1L1
NA	NA	NA	NA	NA	NA	VPS26C
NA	NA	NA	NA	NA	NA	DYRK1A
NA	NA	NA	NA	NA	NA	ETS2
NA	NA	NA	NA	NA	NA	CREB3L1
NA	NA	NA	NA	NA	NA	C2CD2
NA	NA	NA	NA	NA	NA	TAB3
NA	NA	NA	NA	NA	NA	C9orf43
NA	NA	NA	NA	NA	NA	WDR19
NA	NA	NA	NA	NA	NA	FMNL2
NA	NA	NA	NA	NA	NA	RAB28
NA	NA	NA	NA	NA	NA	PRXL2B
NA	NA	NA	NA	NA	NA	PANK4
NA	NA	NA	NA	NA	NA	C12orf43
NA	NA	NA	NA	NA	NA	SKI
NA	NA	NA	NA	NA	NA	WIPI2
NA	NA	NA	NA	NA	NA	AGAP1
NA	NA	NA	NA	NA	NA	BABAM2
NA	NA	NA	NA	NA	NA	CFAP251
NA	NA	NA	NA	NA	NA	MRPL17
NA	NA	NA	NA	NA	NA	EYA3
NA	NA	NA	NA	NA	NA	DZIP1L
NA	NA	NA	NA	NA	NA	FANCC
NA	NA	NA	NA	NA	NA	MRAS
NA	NA	NA	NA	NA	NA	ABHD3
NA	NA	NA	NA	NA	NA	FAIM
NA	NA	NA	NA	NA	NA	RNF207
NA	NA	NA	NA	NA	NA	CUL4B
NA	NA	NA	NA	NA	NA	EIF5B
NA	NA	NA	NA	NA	NA	CNOT11
NA	NA	NA	NA	NA	NA	TSPAN33
NA	NA	NA	NA	NA	NA	AHCYL2
NA	NA	NA	NA	NA	NA	TSR2
NA	NA	NA	NA	NA	NA	PPP1R9A
NA	NA	NA	NA	NA	NA	GDPD5
NA	NA	NA	NA	NA	NA	COPG2
NA	NA	NA	NA	NA	NA	EMSY
NA	NA	NA	NA	NA	NA	GPAT4
NA	NA	NA	NA	NA	NA	USF1
NA	NA	NA	NA	NA	NA	SPATA2L
NA	NA	NA	NA	NA	NA	PINK1
NA	NA	NA	NA	NA	NA	NDUFS2
NA	NA	NA	NA	NA	NA	CCAR2
NA	NA	NA	NA	NA	NA	EPB41
NA	NA	NA	NA	NA	NA	MIS18A
NA	NA	NA	NA	NA	NA	SYNJ1
NA	NA	NA	NA	NA	NA	PAXBP1
NA	NA	NA	NA	NA	NA	RCAN1
NA	NA	NA	NA	NA	NA	UBE2Z
NA	NA	NA	NA	NA	NA	IGF2BP1
NA	NA	NA	NA	NA	NA	ARHGAP27
NA	NA	NA	NA	NA	NA	PSMB4
NA	NA	NA	NA	NA	NA	ALDH4A1
NA	NA	NA	NA	NA	NA	STARD9
NA	NA	NA	NA	NA	NA	UBR1
NA	NA	NA	NA	NA	NA	AMFR
NA	NA	NA	NA	NA	NA	MED8
NA	NA	NA	NA	NA	NA	RSPRY1
NA	NA	NA	NA	NA	NA	EFCAB14
NA	NA	NA	NA	NA	NA	CHCHD6
NA	NA	NA	NA	NA	NA	CTBP1
NA	NA	NA	NA	NA	NA	TPPP3
NA	NA	NA	NA	NA	NA	ZNF222
NA	NA	NA	NA	NA	NA	NPR2
NA	NA	NA	NA	NA	NA	GNE
NA	NA	NA	NA	NA	NA	ARHGAP35
NA	NA	NA	NA	NA	NA	CALM3
NA	NA	NA	NA	NA	NA	BSDC1
NA	NA	NA	NA	NA	NA	UBE2J2
NA	NA	NA	NA	NA	NA	ANKLE1
NA	NA	NA	NA	NA	NA	ABCG1
NA	NA	NA	NA	NA	NA	PKNOX1
NA	NA	NA	NA	NA	NA	CBS
NA	NA	NA	NA	NA	NA	PDXK
NA	NA	NA	NA	NA	NA	G6PD
NA	NA	NA	NA	NA	NA	RRP1
NA	NA	NA	NA	NA	NA	AGPAT3
NA	NA	NA	NA	NA	NA	RALGDS
NA	NA	NA	NA	NA	NA	LSS
NA	NA	NA	NA	NA	NA	VAV2
NA	NA	NA	NA	NA	NA	MCM3AP
NA	NA	NA	NA	NA	NA	PCNT
NA	NA	NA	NA	NA	NA	DIP2A
NA	NA	NA	NA	NA	NA	CACFD1
NA	NA	NA	NA	NA	NA	SLC2A6
NA	NA	NA	NA	NA	NA	SHKBP1
NA	NA	NA	NA	NA	NA	ZER1
NA	NA	NA	NA	NA	NA	ZDHHC12
NA	NA	NA	NA	NA	NA	PKN3
NA	NA	NA	NA	NA	NA	TMEM190
NA	NA	NA	NA	NA	NA	TAOK1
NA	NA	NA	NA	NA	NA	SAFB
NA	NA	NA	NA	NA	NA	SHC1
NA	NA	NA	NA	NA	NA	VPS11
NA	NA	NA	NA	NA	NA	NLRX1
NA	NA	NA	NA	NA	NA	ADAR
NA	NA	NA	NA	NA	NA	UBE2Q1
NA	NA	NA	NA	NA	NA	FDPS
NA	NA	NA	NA	NA	NA	NBEAL2
NA	NA	NA	NA	NA	NA	FGFR4
NA	NA	NA	NA	NA	NA	NACC1
NA	NA	NA	NA	NA	NA	RECQL4
NA	NA	NA	NA	NA	NA	ALKBH4
NA	NA	NA	NA	NA	NA	MRNIP
NA	NA	NA	NA	NA	NA	SQSTM1
NA	NA	NA	NA	NA	NA	MGAT4B
NA	NA	NA	NA	NA	NA	MAML1
NA	NA	NA	NA	NA	NA	LRWD1
NA	NA	NA	NA	NA	NA	MFSD12
NA	NA	NA	NA	NA	NA	YDJC
NA	NA	NA	NA	NA	NA	DVL3
NA	NA	NA	NA	NA	NA	AP2M1
NA	NA	NA	NA	NA	NA	ABCF3
NA	NA	NA	NA	NA	NA	DMKN
NA	NA	NA	NA	NA	NA	FDXR
NA	NA	NA	NA	NA	NA	ACOX1
NA	NA	NA	NA	NA	NA	PRPSAP1
NA	NA	NA	NA	NA	NA	SRSF2
NA	NA	NA	NA	NA	NA	ITGA5
NA	NA	NA	NA	NA	NA	FAM171A2
NA	NA	NA	NA	NA	NA	DBF4B
NA	NA	NA	NA	NA	NA	PLCD3
NA	NA	NA	NA	NA	NA	FMNL3
NA	NA	NA	NA	NA	NA	SYCE2
NA	NA	NA	NA	NA	NA	ZNF653
NA	NA	NA	NA	NA	NA	MED11
NA	NA	NA	NA	NA	NA	SNRNP25
NA	NA	NA	NA	NA	NA	WDR90
NA	NA	NA	NA	NA	NA	SPSB3
NA	NA	NA	NA	NA	NA	CCNF
NA	NA	NA	NA	NA	NA	ASRGL1
NA	NA	NA	NA	NA	NA	SYVN1
NA	NA	NA	NA	NA	NA	RPS6KA4
NA	NA	NA	NA	NA	NA	CMPK1
NA	NA	NA	NA	NA	NA	ZYG11B
NA	NA	NA	NA	NA	NA	USP24
NA	NA	NA	NA	NA	NA	SELENON
NA	NA	NA	NA	NA	NA	JAK1
NA	NA	NA	NA	NA	NA	RAVER2
NA	NA	NA	NA	NA	NA	AKR7A3
NA	NA	NA	NA	NA	NA	SDC3
NA	NA	NA	NA	NA	NA	CAMK2N1
NA	NA	NA	NA	NA	NA	MEGF6
NA	NA	NA	NA	NA	NA	MYSM1
NA	NA	NA	NA	NA	NA	EEIG2
NA	NA	NA	NA	NA	NA	C1orf52
NA	NA	NA	NA	NA	NA	ZNF326
NA	NA	NA	NA	NA	NA	AGL
NA	NA	NA	NA	NA	NA	SLC30A7
NA	NA	NA	NA	NA	NA	ZNF496
NA	NA	NA	NA	NA	NA	FLVCR1
NA	NA	NA	NA	NA	NA	ATF3
NA	NA	NA	NA	NA	NA	BPNT1
NA	NA	NA	NA	NA	NA	BROX
NA	NA	NA	NA	NA	NA	PPP1R21
NA	NA	NA	NA	NA	NA	B3GALNT2
NA	NA	NA	NA	NA	NA	CAPN2
NA	NA	NA	NA	NA	NA	WDR26
NA	NA	NA	NA	NA	NA	TYW5
NA	NA	NA	NA	NA	NA	CFAP36
NA	NA	NA	NA	NA	NA	FBXO41
NA	NA	NA	NA	NA	NA	ALMS1P1
NA	NA	NA	NA	NA	NA	SMC6
NA	NA	NA	NA	NA	NA	SMARCAD1
NA	NA	NA	NA	NA	NA	PDLIM5
NA	NA	NA	NA	NA	NA	RPRD2
NA	NA	NA	NA	NA	NA	ERCC3
NA	NA	NA	NA	NA	NA	RNF149
NA	NA	NA	NA	NA	NA	IWS1
NA	NA	NA	NA	NA	NA	DHX57
NA	NA	NA	NA	NA	NA	TGFA
NA	NA	NA	NA	NA	NA	PAQR3
NA	NA	NA	NA	NA	NA	HELQ
NA	NA	NA	NA	NA	NA	PMVK
NA	NA	NA	NA	NA	NA	HIPK1
NA	NA	NA	NA	NA	NA	INAVA
NA	NA	NA	NA	NA	NA	NAXE
NA	NA	NA	NA	NA	NA	IGFN1
NA	NA	NA	NA	NA	NA	ATP1A1
NA	NA	NA	NA	NA	NA	ELF3
NA	NA	NA	NA	NA	NA	TRIM46
NA	NA	NA	NA	NA	NA	ARPC2
NA	NA	NA	NA	NA	NA	STK36
NA	NA	NA	NA	NA	NA	CIP2A
NA	NA	NA	NA	NA	NA	CWC22
NA	NA	NA	NA	NA	NA	STT3B
NA	NA	NA	NA	NA	NA	DPPA2
NA	NA	NA	NA	NA	NA	SERPINI1
NA	NA	NA	NA	NA	NA	CLASP2
NA	NA	NA	NA	NA	NA	SUCLG1
NA	NA	NA	NA	NA	NA	NUAK2
NA	NA	NA	NA	NA	NA	COX18
NA	NA	NA	NA	NA	NA	THOC7
NA	NA	NA	NA	NA	NA	ATXN7
NA	NA	NA	NA	NA	NA	PSMD6
NA	NA	NA	NA	NA	NA	TIPARP
NA	NA	NA	NA	NA	NA	ABHD6
NA	NA	NA	NA	NA	NA	PCOLCE2
NA	NA	NA	NA	NA	NA	U2SURP
NA	NA	NA	NA	NA	NA	MTMR14
NA	NA	NA	NA	NA	NA	TTC14
NA	NA	NA	NA	NA	NA	RCHY1
NA	NA	NA	NA	NA	NA	HPS3
NA	NA	NA	NA	NA	NA	TOPBP1
NA	NA	NA	NA	NA	NA	SLC4A1AP
NA	NA	NA	NA	NA	NA	KIF15
NA	NA	NA	NA	NA	NA	WDR43
NA	NA	NA	NA	NA	NA	LZTFL1
NA	NA	NA	NA	NA	NA	FYCO1
NA	NA	NA	NA	NA	NA	SMIM12
NA	NA	NA	NA	NA	NA	YEATS2
NA	NA	NA	NA	NA	NA	ZC3H12A
NA	NA	NA	NA	NA	NA	SENP2
NA	NA	NA	NA	NA	NA	IFT122
NA	NA	NA	NA	NA	NA	BAP1
NA	NA	NA	NA	NA	NA	TKT
NA	NA	NA	NA	NA	NA	PRKCD
NA	NA	NA	NA	NA	NA	SFMBT1
NA	NA	NA	NA	NA	NA	GNL3
NA	NA	NA	NA	NA	NA	PBRM1
NA	NA	NA	NA	NA	NA	UVSSA
NA	NA	NA	NA	NA	NA	TASOR
NA	NA	NA	NA	NA	NA	ABLIM2
NA	NA	NA	NA	NA	NA	AIMP1
NA	NA	NA	NA	NA	NA	SGMS2
NA	NA	NA	NA	NA	NA	METAP1
NA	NA	NA	NA	NA	NA	CDC25A
NA	NA	NA	NA	NA	NA	CCDC51
NA	NA	NA	NA	NA	NA	SHISA5
NA	NA	NA	NA	NA	NA	APEH
NA	NA	NA	NA	NA	NA	INTU
NA	NA	NA	NA	NA	NA	RNF123
NA	NA	NA	NA	NA	NA	HSPA4L
NA	NA	NA	NA	NA	NA	DUSP7
NA	NA	NA	NA	NA	NA	PRSS12
NA	NA	NA	NA	NA	NA	ANXA5
NA	NA	NA	NA	NA	NA	NAA15
NA	NA	NA	NA	NA	NA	IL15
NA	NA	NA	NA	NA	NA	FHIP1A
NA	NA	NA	NA	NA	NA	ICE1
NA	NA	NA	NA	NA	NA	LSM6
NA	NA	NA	NA	NA	NA	TMEM184C
NA	NA	NA	NA	NA	NA	EDIL3
NA	NA	NA	NA	NA	NA	LMBRD2
NA	NA	NA	NA	NA	NA	NIPBL
NA	NA	NA	NA	NA	NA	SLC25A46
NA	NA	NA	NA	NA	NA	PRRC1
NA	NA	NA	NA	NA	NA	AGGF1
NA	NA	NA	NA	NA	NA	TIGD6
NA	NA	NA	NA	NA	NA	SERINC5
NA	NA	NA	NA	NA	NA	ERAP1
NA	NA	NA	NA	NA	NA	EGFLAM
NA	NA	NA	NA	NA	NA	RICTOR
NA	NA	NA	NA	NA	NA	ANKRA2
NA	NA	NA	NA	NA	NA	UTP15
NA	NA	NA	NA	NA	NA	GFM2
NA	NA	NA	NA	NA	NA	SEPTIN8
NA	NA	NA	NA	NA	NA	GRIK2
NA	NA	NA	NA	NA	NA	TBXT
NA	NA	NA	NA	NA	NA	DCBLD1
NA	NA	NA	NA	NA	NA	SFXN1
NA	NA	NA	NA	NA	NA	MATCAP2
NA	NA	NA	NA	NA	NA	GALNT10
NA	NA	NA	NA	NA	NA	SAP30L
NA	NA	NA	NA	NA	NA	COG5
NA	NA	NA	NA	NA	NA	CAMLG
NA	NA	NA	NA	NA	NA	CDCA7L
NA	NA	NA	NA	NA	NA	ELAPOR2
NA	NA	NA	NA	NA	NA	USP49
NA	NA	NA	NA	NA	NA	CHMP4C
NA	NA	NA	NA	NA	NA	LMTK2
NA	NA	NA	NA	NA	NA	CTSB
NA	NA	NA	NA	NA	NA	RAD21
NA	NA	NA	NA	NA	NA	CDK5
NA	NA	NA	NA	NA	NA	SLC4A2
NA	NA	NA	NA	NA	NA	FOXK1
NA	NA	NA	NA	NA	NA	INTS8
NA	NA	NA	NA	NA	NA	VIRMA
NA	NA	NA	NA	NA	NA	TMEM67
NA	NA	NA	NA	NA	NA	WASHC5
NA	NA	NA	NA	NA	NA	SNAPC3
NA	NA	NA	NA	NA	NA	TMEM65
NA	NA	NA	NA	NA	NA	PSIP1
NA	NA	NA	NA	NA	NA	MAMDC2
NA	NA	NA	NA	NA	NA	HGSNAT
NA	NA	NA	NA	NA	NA	GKAP1
NA	NA	NA	NA	NA	NA	SVEP1
NA	NA	NA	NA	NA	NA	STRBP
NA	NA	NA	NA	NA	NA	WNK2
NA	NA	NA	NA	NA	NA	NOL6
NA	NA	NA	NA	NA	NA	VCP
NA	NA	NA	NA	NA	NA	STOML2
NA	NA	NA	NA	NA	NA	BRWD3
NA	NA	NA	NA	NA	NA	HECTD2
NA	NA	NA	NA	NA	NA	CFL2
NA	NA	NA	NA	NA	NA	GTF2A1
NA	NA	NA	NA	NA	NA	PGM2L1
NA	NA	NA	NA	NA	NA	REEP3
NA	NA	NA	NA	NA	NA	MICU2
NA	NA	NA	NA	NA	NA	PCF11
NA	NA	NA	NA	NA	NA	NEMF
NA	NA	NA	NA	NA	NA	FAAH2
NA	NA	NA	NA	NA	NA	DACT1
NA	NA	NA	NA	NA	NA	TAF3
NA	NA	NA	NA	NA	NA	ABRAXAS2
NA	NA	NA	NA	NA	NA	QSOX2
NA	NA	NA	NA	NA	NA	NSD1
NA	NA	NA	NA	NA	NA	PRDX3
NA	NA	NA	NA	NA	NA	ENOX2
NA	NA	NA	NA	NA	NA	GHITM
NA	NA	NA	NA	NA	NA	PMPCA
NA	NA	NA	NA	NA	NA	SPACA9
NA	NA	NA	NA	NA	NA	TSC1
NA	NA	NA	NA	NA	NA	ZMYND19
NA	NA	NA	NA	NA	NA	BMS1
NA	NA	NA	NA	NA	NA	STK32C
NA	NA	NA	NA	NA	NA	ARHGEF40
NA	NA	NA	NA	NA	NA	NSMF
NA	NA	NA	NA	NA	NA	ZNF219
NA	NA	NA	NA	NA	NA	CASP7
NA	NA	NA	NA	NA	NA	CCDC186
NA	NA	NA	NA	NA	NA	METTL3
NA	NA	NA	NA	NA	NA	HSPA12A
NA	NA	NA	NA	NA	NA	SHLD2P1
NA	NA	NA	NA	NA	NA	E2F7
NA	NA	NA	NA	NA	NA	ARHGAP42
NA	NA	NA	NA	NA	NA	LARGE2
NA	NA	NA	NA	NA	NA	PSMC3
NA	NA	NA	NA	NA	NA	TC2N
NA	NA	NA	NA	NA	NA	CPSF2
NA	NA	NA	NA	NA	NA	CEP295
NA	NA	NA	NA	NA	NA	ABTB2
NA	NA	NA	NA	NA	NA	CEP57
NA	NA	NA	NA	NA	NA	GPT2
NA	NA	NA	NA	NA	NA	IKBIP
NA	NA	NA	NA	NA	NA	RPUSD2
NA	NA	NA	NA	NA	NA	HIF1AN
NA	NA	NA	NA	NA	NA	FBN1
NA	NA	NA	NA	NA	NA	CKB
NA	NA	NA	NA	NA	NA	BTRC
NA	NA	NA	NA	NA	NA	DPCD
NA	NA	NA	NA	NA	NA	ZNF319
NA	NA	NA	NA	NA	NA	SENP8
NA	NA	NA	NA	NA	NA	ALKBH3
NA	NA	NA	NA	NA	NA	COPS2
NA	NA	NA	NA	NA	NA	SGPL1
NA	NA	NA	NA	NA	NA	FRS2
NA	NA	NA	NA	NA	NA	CCT2
NA	NA	NA	NA	NA	NA	PCBD1
NA	NA	NA	NA	NA	NA	CLMP
NA	NA	NA	NA	NA	NA	STXBP4
NA	NA	NA	NA	NA	NA	PLEKHF1
NA	NA	NA	NA	NA	NA	APBB1
NA	NA	NA	NA	NA	NA	TPP1
NA	NA	NA	NA	NA	NA	CYB5A
NA	NA	NA	NA	NA	NA	USP54
NA	NA	NA	NA	NA	NA	IDH3A
NA	NA	NA	NA	NA	NA	RNF169
NA	NA	NA	NA	NA	NA	DENND2B
NA	NA	NA	NA	NA	NA	PRTG
NA	NA	NA	NA	NA	NA	LEO1
NA	NA	NA	NA	NA	NA	ZNF143
NA	NA	NA	NA	NA	NA	TMX3
NA	NA	NA	NA	NA	NA	WEE1
NA	NA	NA	NA	NA	NA	SEC11C
NA	NA	NA	NA	NA	NA	TMEM135
NA	NA	NA	NA	NA	NA	CHRFAM7A
NA	NA	NA	NA	NA	NA	COG1
NA	NA	NA	NA	NA	NA	MARF1
NA	NA	NA	NA	NA	NA	PPIB
NA	NA	NA	NA	NA	NA	KIF7
NA	NA	NA	NA	NA	NA	C18orf54
NA	NA	NA	NA	NA	NA	PLK1
NA	NA	NA	NA	NA	NA	CLPX
NA	NA	NA	NA	NA	NA	NEMP1
NA	NA	NA	NA	NA	NA	NAB2
NA	NA	NA	NA	NA	NA	VPS39
NA	NA	NA	NA	NA	NA	STAT6
NA	NA	NA	NA	NA	NA	PIP4K2C
NA	NA	NA	NA	NA	NA	MTMR10
NA	NA	NA	NA	NA	NA	YWHAB
NA	NA	NA	NA	NA	NA	MAPRE2
NA	NA	NA	NA	NA	NA	MARS1
NA	NA	NA	NA	NA	NA	PBX3
NA	NA	NA	NA	NA	NA	CERCAM
NA	NA	NA	NA	NA	NA	PRRX2
NA	NA	NA	NA	NA	NA	COQ7
NA	NA	NA	NA	NA	NA	TBC1D2B
NA	NA	NA	NA	NA	NA	HDHD2
NA	NA	NA	NA	NA	NA	RNF214
NA	NA	NA	NA	NA	NA	ENGASE
NA	NA	NA	NA	NA	NA	TBC1D16
NA	NA	NA	NA	NA	NA	ACAA2
NA	NA	NA	NA	NA	NA	RRM1
NA	NA	NA	NA	NA	NA	RAB8A
NA	NA	NA	NA	NA	NA	GPX4
NA	NA	NA	NA	NA	NA	KLHL26
NA	NA	NA	NA	NA	NA	MVD
NA	NA	NA	NA	NA	NA	KMT2D
NA	NA	NA	NA	NA	NA	SERTAD3
NA	NA	NA	NA	NA	NA	NCKAP5L
NA	NA	NA	NA	NA	NA	AXL
NA	NA	NA	NA	NA	NA	NFKBID
NA	NA	NA	NA	NA	NA	LENG8
NA	NA	NA	NA	NA	NA	ZNF526
NA	NA	NA	NA	NA	NA	YIF1B
NA	NA	NA	NA	NA	NA	UBXN6
NA	NA	NA	NA	NA	NA	HDGFL2
NA	NA	NA	NA	NA	NA	SEMA6B
NA	NA	NA	NA	NA	NA	NXN
NA	NA	NA	NA	NA	NA	KIFC2
NA	NA	NA	NA	NA	NA	TSR1
NA	NA	NA	NA	NA	NA	CYB5D2
NA	NA	NA	NA	NA	NA	KRT80
NA	NA	NA	NA	NA	NA	RCOR2
NA	NA	NA	NA	NA	NA	IGFBP6
NA	NA	NA	NA	NA	NA	NDUFV1
NA	NA	NA	NA	NA	NA	NUDT8
NA	NA	NA	NA	NA	NA	MRPL58
NA	NA	NA	NA	NA	NA	SRP68
NA	NA	NA	NA	NA	NA	TOX-DT
NA	NA	NA	NA	NA	NA	FAM234A
NA	NA	NA	NA	NA	NA	ZNF598
NA	NA	NA	NA	NA	NA	RAB26
NA	NA	NA	NA	NA	NA	ABCA3
NA	NA	NA	NA	NA	NA	KCTD5
NA	NA	NA	NA	NA	NA	SLC3A2
NA	NA	NA	NA	NA	NA	SPINDOC
NA	NA	NA	NA	NA	NA	C2CD3
NA	NA	NA	NA	NA	NA	CTNNB1
NA	NA	NA	NA	NA	NA	SF1
NA	NA	NA	NA	NA	NA	MAP4K2
NA	NA	NA	NA	NA	NA	PBK
NA	NA	NA	NA	NA	NA	SCARA5
NA	NA	NA	NA	NA	NA	COPS6
NA	NA	NA	NA	NA	NA	ANKS3
NA	NA	NA	NA	NA	NA	RAB4A
NA	NA	NA	NA	NA	NA	SETD5
NA	NA	NA	NA	NA	NA	THAP9
NA	NA	NA	NA	NA	NA	HOOK3
NA	NA	NA	NA	NA	NA	LMBRD1
NA	NA	NA	NA	NA	NA	ZCCHC4
NA	NA	NA	NA	NA	NA	TTC39C
NA	NA	NA	NA	NA	NA	DNAJC7
NA	NA	NA	NA	NA	NA	NT5DC2
NA	NA	NA	NA	NA	NA	MMADHC
NA	NA	NA	NA	NA	NA	PDHB
NA	NA	NA	NA	NA	NA	PXK
NA	NA	NA	NA	NA	NA	KCTD6
NA	NA	NA	NA	NA	NA	SEPTIN2
NA	NA	NA	NA	NA	NA	TAP1
NA	NA	NA	NA	NA	NA	ATG4B
NA	NA	NA	NA	NA	NA	MLKL
NA	NA	NA	NA	NA	NA	COG7
NA	NA	NA	NA	NA	NA	CDC40
NA	NA	NA	NA	NA	NA	HR
NA	NA	NA	NA	NA	NA	BMP1
NA	NA	NA	NA	NA	NA	MTCL1
