FEATURE	TAF2_INTRON_UP_N_DATAPOINTS	TAF2_INTRON_UP_N_NA	TAF2_INTRON_UP_MEAN	TAF2_INTRON_UP_MEDIAN	TAF2_INTRON_DOWN_N_DATAPOINTS	TAF2_INTRON_DOWN_N_NA	TAF2_INTRON_DOWN_MEAN	TAF2_INTRON_DOWN_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_TAF2_INTRON_DOWN	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_TAF2_INTRON_DOWN	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_UP_VS_CS	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_INTRON_DOWN_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS	QUAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS
INTRON_LENGTH	111	0	1897.7027027027	430	97	0	1640.10309278351	913	49	0	1180.36734693878	592	949	0	888.024236037935	325	966	0	5064.73084886128	1641	0.0190835319133005	*   : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.428244456013664	TAF2_INTRON_UP = CR	0.0181349743311765	*   : TAF2_INTRON_UP > AS_NC	3.00281931020985e-11	*** : TAF2_INTRON_UP < CS	0.154573228524895	TAF2_INTRON_DOWN = CR	9.1250748905027e-08	*** : TAF2_INTRON_DOWN > AS_NC	5.00328559500665e-05	*** : TAF2_INTRON_DOWN < CS	0.0129422806640017	*   : CR > AS_NC	1.42888083391631e-05	*** : CR < CS	1.20012935526944e-82	*** : AS_NC < CS
UPEXON_MEDIANLENGTH	111	0	201.328828828829	136	97	0	181.757731958763	133	49	0	382.969387755102	207.5	949	0	163.484193888303	126	966	0	143.004658385093	124	0.906245300820944	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.00189686427531694	**  : TAF2_INTRON_UP < CR	0.0971099775589291	TAF2_INTRON_UP = AS_NC	0.0347195121752352	*   : TAF2_INTRON_UP > CS	0.00126259955572642	**  : TAF2_INTRON_DOWN < CR	0.125359601502021	TAF2_INTRON_DOWN = AS_NC	0.0483313460034121	*   : TAF2_INTRON_DOWN > CS	1.13843473906818e-06	*** : CR > AS_NC	1.08980911569376e-07	*** : CR > CS	0.360401967399393	AS_NC = CS
DOEXON_MEDIANLENGTH	111	0	350.63963963964	152	97	0	234.788659793814	132	49	0	521.530612244898	316	949	0	263.846680716544	135	966	0	257.124223602484	128	0.211966322592918	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.0011603199317981	**  : TAF2_INTRON_UP < CR	0.0986398194677924	TAF2_INTRON_UP = AS_NC	0.00415822213072407	**  : TAF2_INTRON_UP > CS	5.05231136170013e-05	*** : TAF2_INTRON_DOWN < CR	0.839906559189267	TAF2_INTRON_DOWN = AS_NC	0.412319672150267	TAF2_INTRON_DOWN = CS	2.11858448346243e-06	*** : CR > AS_NC	6.08765730085964e-08	*** : CR > CS	0.0136924558649037	*   : AS_NC > CS
RATIO_UPEXON_INTRON_LENGTH	111	0	0.582536704009111	0.33920704845815	97	0	0.435989491335588	0.189134808853119	49	0	1.23749956169981	0.353369763205829	949	0	0.688340984788126	0.388888888888889	966	0	0.263245618125674	0.0762247308230978	0.0154184269340226	*   : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.472659990815276	TAF2_INTRON_UP = CR	0.339081863489091	TAF2_INTRON_UP = AS_NC	2.77922878008939e-14	*** : TAF2_INTRON_UP > CS	0.00751641074995622	**  : TAF2_INTRON_DOWN < CR	4.61259989708706e-05	*** : TAF2_INTRON_DOWN < AS_NC	2.292727956433e-06	*** : TAF2_INTRON_DOWN > CS	0.815341691788571	CR = AS_NC	5.66054139061847e-10	*** : CR > CS	1.89982591158011e-80	*** : AS_NC > CS
RATIO_DOEXON_INTRON_LENGTH	111	0	0.786448059136312	0.411214953271028	97	0	0.518959323781653	0.221945137157107	49	0	1.4741799927194	0.597402597402597	949	0	1.00078416531865	0.497856121962839	966	0	0.393068783968926	0.0895518270139826	0.00419035720649146	**  : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.148817949883868	TAF2_INTRON_UP = CR	0.332664888095466	TAF2_INTRON_UP = AS_NC	1.13162853928511e-13	*** : TAF2_INTRON_UP > CS	0.000647882019834066	*** : TAF2_INTRON_DOWN < CR	2.95476347898051e-06	*** : TAF2_INTRON_DOWN < AS_NC	4.46142622565836e-05	*** : TAF2_INTRON_DOWN > CS	0.281829841285207	CR = AS_NC	7.84385811077127e-11	*** : CR > CS	1.75445455033398e-76	*** : AS_NC > CS
INTRON_GCC	111	0	0.568328659590184	0.588607594936709	97	0	0.527256990179814	0.527377521613833	49	0	0.567094393763721	0.595348837209302	949	0	0.573130925893395	0.58628841607565	966	0	0.436334938898671	0.412939829206602	0.00591200088454326	**  : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.818469168247541	TAF2_INTRON_UP = CR	0.986144167740435	TAF2_INTRON_UP = AS_NC	1.08842234011309e-23	*** : TAF2_INTRON_UP > CS	0.0404285357901797	*   : TAF2_INTRON_DOWN < CR	7.3434285810471e-05	*** : TAF2_INTRON_DOWN < AS_NC	1.681179273996e-13	*** : TAF2_INTRON_DOWN > CS	0.780027603972553	CR = AS_NC	8.34462060679889e-12	*** : CR > CS	2.80499749374302e-125	*** : AS_NC > CS
UPEXON_GCC	111	0	0.59326793550605	0.609375	97	0	0.585892574078756	0.587786259541985	49	0	0.580402846408779	0.620419650875003	949	0	0.592161867449349	0.601969905007426	966	0	0.492494610649603	0.477627627627628	0.403832948303872	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.716767880765934	TAF2_INTRON_UP = CR	0.608430285907511	TAF2_INTRON_UP = AS_NC	1.3507826932705e-20	*** : TAF2_INTRON_UP > CS	0.894496266945843	TAF2_INTRON_DOWN = CR	0.489298710884547	TAF2_INTRON_DOWN = AS_NC	8.56112037654057e-16	*** : TAF2_INTRON_DOWN > CS	0.841681954026755	CR = AS_NC	2.06024598164356e-07	*** : CR > CS	1.61281922809123e-89	*** : AS_NC > CS
DOEXON_GCC	111	0	0.564054865489916	0.588671640511105	97	0	0.541120641782674	0.554054054054054	49	0	0.540458301664757	0.558823529411765	949	0	0.5780145611063	0.59	966	0	0.47867254524357	0.460893003632954	0.0396316205712234	*   : TAF2_INTRON_UP > TAF2_INTRON_DOWN	0.188168257072849	TAF2_INTRON_UP = CR	0.522102860902762	TAF2_INTRON_UP = AS_NC	7.55611357552892e-15	*** : TAF2_INTRON_UP > CS	0.771740146113653	TAF2_INTRON_DOWN = CR	0.00013314788613876	*** : TAF2_INTRON_DOWN < AS_NC	1.35922633896487e-09	*** : TAF2_INTRON_DOWN > CS	0.037687762647638	*   : CR < AS_NC	0.000121241110054681	*** : CR > CS	2.08968436935176e-95	*** : AS_NC > CS
RATIO_UPEXON_INTRON_GCC	111	0	1.07307083546575	1.02300242130751	97	0	1.1428368971243	1.10229744628863	49	0	1.03972689438203	1.01492562452922	949	0	1.05410186365233	1.03703703703704	966	0	1.15585997082768	1.12345748666572	0.0131334575775772	*   : TAF2_INTRON_UP < TAF2_INTRON_DOWN	0.512321965796021	TAF2_INTRON_UP = CR	0.707767631604779	TAF2_INTRON_UP = AS_NC	9.34928639764188e-05	*** : TAF2_INTRON_UP < CS	0.00655506788778609	**  : TAF2_INTRON_DOWN > CR	0.00021841784781957	*** : TAF2_INTRON_DOWN > AS_NC	0.635687637968183	TAF2_INTRON_DOWN = CS	0.580628493284558	CR = AS_NC	0.000345774423686333	*** : CR < CS	2.69574222903326e-23	*** : AS_NC < CS
RATIO_DOEXON_INTRON_GCC	111	0	1.00921447346453	1.00380952380952	97	0	1.04864899499754	1.02730288034967	49	0	0.969457067590312	0.992481203007519	949	0	1.02829598168839	1.00775764930224	966	0	1.12194896436941	1.09456360039778	0.12181634045883	TAF2_INTRON_UP = TAF2_INTRON_DOWN	0.382316912555991	TAF2_INTRON_UP = CR	0.337924317360553	TAF2_INTRON_UP = AS_NC	1.17595891080635e-08	*** : TAF2_INTRON_UP < CS	0.0427086529498833	*   : TAF2_INTRON_DOWN > CR	0.293833733178504	TAF2_INTRON_DOWN = AS_NC	0.000136924381943121	*** : TAF2_INTRON_DOWN < CS	0.0678292470578178	CR = AS_NC	7.0481282941079e-07	*** : CR < CS	8.35131190337857e-28	*** : AS_NC < CS
